	formattedAddress	propertyType	distance	price	squareFootage	pricePerSqFt	bedrooms	bathrooms	correlation	daysOld	latitude	longitude
0	7607 Williamson Creek Dr, Austin, TX 78736	Single Family	0.030375009367422014	750000	1026	730.99	3	1.0	0.9994	0.46	30.246044	-97.914972
1	8102 Williamson Creek Dr, Austin, TX 78736	Single Family	0.48104678624838193	399000	1197	333.33	3	1.0	0.968	651.4	30.242367	-97.918159
2	9401 Claxton Dr, Austin, TX 78736	Single Family	0.43397968398320047	599000	2154	278.09	3		0.9016	338.28	30.246049	-97.910672
3	7801 Williamson Creek Dr, Austin, TX 78736	Single Family	0.11622575675887394	390000	1188	328.28	2	1.0	0.8944	156.61	30.244901	-97.915713
4	8513 Bargamin Dr, Austin, TX 78736	Single Family	1.8107403272590021	413000	1273	324.43	3	2.0	0.8789	474.44	30.240896	-97.897239
5	7602 Mowinkle Dr, Austin, TX 78736	Single Family	0.8552124726106725	599000	1570	381.53	3	2.0	0.8748	609.37	30.24176	-97.907641
6	9405 Towana Trl, Austin, TX 78736	Single Family	0.3387532338722573	529900	1780	297.7	3	2.0	0.8734	651.37	30.243175	-97.913472
7	9104 Claxton Dr, Austin, TX 78736	Single Family	0.8232489052569772	499900	1610	310.5	3	2.0	0.8729	665.35	30.245059	-97.906665
8	10104 Murmuring Creek Dr, Austin, TX 78736	Single Family	0.7773196767429328	420000	1705	246.33	3	2.0	0.8697	382.42	30.252206	-97.918493
9	8525 Red Willow Dr, Austin, TX 78736	Single Family	1.746779038163791	445000	1408	316.05	3	2.0	0.8693	406.47	30.240544	-97.898079
