	formattedAddress	propertyType	price	squareFootage	pricePerSqFt	bedrooms	bathrooms	daysOnMarket	latitude	longitude
0	2938 E 12th St, Austin, TX 78702	Land	1150000					649	30.276518	-97.705147
1	15407 Patrica St, Austin, TX 78728	Single Family	700000	1680.0	416.67	3.0	2.0	563	30.451009	-97.669682
2	8503 Hillmoore Dr, Austin, TX 78744	Land	7400000					578	30.170717	-97.690815
3	4300 Mansfield Dam Ct, Unit 731, Austin, TX 78734	Condo	530000	1687.0	314.17	3.0	2.0	556	30.39652	-97.913856
4	7207 Mountain Trl, Lots 49 & 50, Austin, TX 78732	Land	2399000			0.0		536	30.42	-97.884591
5	20801 Hamilton Pool Rd, Austin, TX 78738	Land	1350000			0.0		520	30.30528	-98.090984
6	7512 Providence Ave, Austin, TX 78752	Single Family	500000	1729.0	289.18	3.0	2.0	473	30.333824	-97.694973
7	1101 N Weston Ln, Austin, TX 78733	Land	6400000					459	30.323389	-97.842194
8	1100 River Hills Rd, Austin, TX 78733	Land	9500000			0.0		439	30.327841	-97.85098
9	5904 Melody Ln, Austin, TX 78724	Land	100000			0.0		427	30.256166	-97.57197
10	13129 Villa Montana Way, Austin, TX 78732	Land	660000					424	30.412798	-97.870779
11	7207 Mountain Trl, Austin, TX 78732	Land	2499999					411	30.419651	-97.884459
12	11129 Old Lockhart Rd, Austin, TX 78747	Land	1500000					402	30.123625	-97.748108
13	301 E Stassney Ln, Austin, TX 78745	Land	595000					396	30.203656	-97.772994
14	10210 Crumley Ranch Rd, Austin, TX 78738	Single Family	8500000	2248.0	3781.14	3.0	2.5	402	30.26606	-98.024644
15	5029 Globe Mallow Dr, Austin, TX 78739	Land	1600000					355	30.165038	-97.887875
16	13021 Dessau Rd, Lot 686, Austin, TX 78754	Manufactured	159995	1568.0	102.04	3.0	2.0	354	30.391171	-97.634378
17	1001 Lott Ave, Austin, TX 78721	Single Family	1100000	2774.0	396.54	4.0	3.5	360	30.26777	-97.683366
18	702 Culp St, Austin, TX 78741	Single Family	699900	1075.0	651.07	3.0	1.5	380	30.238301	-97.697426
19	706 West Ave Apt C, Austin, TX 78701	Condo	1250000	2003.0	624.06	3.0	2.5	385	30.271885	-97.750576
20	9000 S Us Hwy 183 Dr, Unit C, Austin, TX 78747	Single Family	999000	3722.0	268.4	3.0	2.0	360	30.122808	-97.697847
21	5512 Cuesta Verde, Austin, TX 78746	Single Family	7800000	9876.0	789.79	4.0	5.5	349	30.33327	-97.796233
22	5606 1/2 Joe Sayers Ave, Austin, TX 78756	Land	415000					350	30.329176	-97.734634
23	1006 Lott Ave, Austin, TX 78721	Single Family	750000	1024.0	732.42	3.0	2.0	344	30.268145	-97.683811
24	7601 Daffan Ln, Trlr 308, Austin, TX 78724	Manufactured	101995	1080.0	94.44	2.0	2.0	341	30.313795	-97.624987
25	706 Valdez St, Unit 2, Austin, TX 78741	Condo	539000	1100.0	490.0	2.0	2.5	342	30.234725	-97.692212
26	7651 Trailside Estates Blvd, Austin, TX 78724	Single Family	2350000	5682.0	413.59	5.0	5.0	349	30.285612	-97.584547
27	800 Embassy Dr, Apt 233, Austin, TX 78702	Condo	549500	780.0	704.49	1.0	1.0	332	30.267453	-97.732383
28	604 Fletcher St, Austin, TX 78704	Duplex-Triplex	1999050	2400.0	832.94	4.0	4.0	336	30.243706	-97.758794
29	8701 Highway, 290 W, Austin, TX 78736	Land	4500000					332	30.233431	-97.913735
30	910 W 25th St, Apt 301, Austin, TX 78705	Condo	480000	1190.0	403.36	3.0	3.0	332	30.289645	-97.747357
31	Vertex Blvd, Austin, TX 78747	Land	995000					321	30.152745	-97.751138
32	15700 Scarlet St, Austin, TX 78728	Single Family	450000	1946.0	231.24	3.0	2.0	311	30.454294	-97.66928
