	formattedAddress	propertyType	price	squareFootage	pricePerSqFt	bedrooms	bathrooms	daysOnMarket	latitude	longitude
1	15407 Patrica St, Austin, TX 78728	Single Family	700000	1680.0	416.67	3.0	2.0	563	30.451009	-97.669682
6	7512 Providence Ave, Austin, TX 78752	Single Family	500000	1729.0	289.18	3.0	2.0	473	30.333824	-97.694973
14	10210 Crumley Ranch Rd, Austin, TX 78738	Single Family	8500000	2248.0	3781.14	3.0	2.5	402	30.26606	-98.024644
17	1001 Lott Ave, Austin, TX 78721	Single Family	1100000	2774.0	396.54	4.0	3.5	360	30.26777	-97.683366
18	702 Culp St, Austin, TX 78741	Single Family	699900	1075.0	651.07	3.0	1.5	380	30.238301	-97.697426
20	9000 S Us Hwy 183 Dr, Unit C, Austin, TX 78747	Single Family	999000	3722.0	268.4	3.0	2.0	360	30.122808	-97.697847
21	5512 Cuesta Verde, Austin, TX 78746	Single Family	7800000	9876.0	789.79	4.0	5.5	349	30.33327	-97.796233
23	1006 Lott Ave, Austin, TX 78721	Single Family	750000	1024.0	732.42	3.0	2.0	344	30.268145	-97.683811
26	7651 Trailside Estates Blvd, Austin, TX 78724	Single Family	2350000	5682.0	413.59	5.0	5.0	349	30.285612	-97.584547
32	15700 Scarlet St, Austin, TX 78728	Single Family	450000	1946.0	231.24	3.0	2.0	311	30.454294	-97.66928
33	211 Costa Bella Dr, Austin, TX 78734	Single Family	8200000	9261.0	885.43	5.0	7.0	307	30.389013	-97.949821
35	7607 Williamson Creek Dr, Austin, TX 78736	Single Family	750000	1026.0	730.99	3.0	1.0	310	30.246044	-97.914972
37	5705 Scenic View Dr, Austin, TX 78746	Single Family	12750000	10450.0	1220.1	7.0	7.5	304	30.315461	-97.807293
43	2901 Dresden Cv, Austin, TX 78723	Single Family	695000	3121.0	222.69	7.0	4.0	291	30.300537	-97.68263
44	4504 Pink Sand Dr, Austin, TX 78747	Single Family	474990	1402.0	338.79	3.0	2.0	287	30.127848	-97.79135
45	2645 W 45th St, Austin, TX 78731	Single Family	1999999	3379.0	591.89	5.0	5.0	282	30.320262	-97.752808
46	203 E Saint Johns Ave, Austin, TX 78752	Single Family	684000	2144.0	319.03	4.0	2.0	275	30.334695	-97.708677
48	2204 Lakeshore Dr, Austin, TX 78746	Single Family	4350000	3540.0	1228.81	5.0	4.0	271	30.3031	-97.786542
