	price	propertyType	rawAddress	squareFootage	bathrooms	bedrooms	daysOnMarket	latitude	longitude
0	698000	Single Family	11508 Harpster Bnd, Austin, TX 78717	2644	3.0	4	177	30.488697	-97.799225
1	625000	Single Family	14926 Galena Dr, Austin, TX 78717	2387	2.0	4	146	30.493366	-97.772875
3	575000	Single Family	9312 Eddystone St, Austin, TX 78729	1659	2.0	3	128	30.454231	-97.783294
4	491000	Single Family	9813 Meadowheath Dr, Austin, TX 78729	2105	2.0	3	125	30.459047	-97.787901
5	470000	Single Family	12104 Jill Sue Ct, Austin, TX 78750	1545	2.0	3	118	30.453942	-97.803321
6	474500	Single Family	8908 Bridgewood Trl, Austin, TX 78729	1728	2.5	3	110	30.45852	-97.773032
7	449900	Single Family	12118 Old Stage Trl, Austin, TX 78750	1353	2.0	3	105	30.452724	-97.800563
8	1064000	Single Family	15129 Glen Echo Dr, Austin, TX 78717	4189	3.5	6	104	30.491213	-97.76487
9	550000	Single Family	13533 Albania Way, Austin, TX 78729	2124	2.5	3	104	30.459515	-97.755157
10	505000	Single Family	8107 Matchlock Cv, Austin, TX 78729	1461	2.0	3	104	30.447423	-97.768445
12	466000	Single Family	13506 Briar Hollow Dr, Austin, TX 78729	1664	2.0	3	104	30.469788	-97.776933
13	519900	Single Family	6920 Dallas Dr, Austin, TX 78729	2130	2.5	3	100	30.448014	-97.750334
14	528000	Single Family	12113 Missel Thrush Ct, Austin, TX 78750	1551	2.0	3	96	30.451467	-97.799695
15	655500	Single Family	10113 Erwin Trl, Austin, TX 78717	2200	3.5	3	95	30.476706	-97.782568
16	824900	Single Family	15805 Garrison Cir, Austin, TX 78717	3983	3.5	6	95	30.488708	-97.733075
17	649900	Single Family	13217 Woodthorpe St, Austin, TX 78729	2110	2.0	4	92	30.464608	-97.782743
18	499000	Single Family	11702 Tanglebriar Trl, Austin, TX 78750	1728	2.0	3	90	30.456196	-97.822438
19	575000	Single Family	12118 Acorn Creek Trl, Austin, TX 78750	1675	2.0	3	90	30.457625	-97.810199
23	579900	Single Family	11902 Swan Dr, Austin, TX 78750	1568	2.0	3	89	30.447587	-97.801475
24	990000	Single Family	10209 Kiawah Island Cv, Austin, TX 78717	4055	4.0	5	89	30.503481	-97.757018
25	573000	Single Family	12105 Wickline Way, Austin, TX 78717	1748	2.0	3	89	30.491592	-97.798694
26	579000	Single Family	16520 Fowler Mill Cv, Austin, TX 78717	1832	2.0	3	84	30.506767	-97.746381
27	850000	Single Family	8613 Ken Aaron Ct, Austin, TX 78717	3896	3.5	6	84	30.493194	-97.737225
29	595000	Single Family	8003 Boneta Trl, Austin, TX 78729	2138	2.5	3	83	30.440806	-97.768248
30	525000	Single Family	11506 Fence Post Trl, Austin, TX 78750	1754	2.5	3	83	30.45312	-97.821433
31	489900	Single Family	12111 Robin Ridge Ln, Austin, TX 78750	1380	2.0	3	82	30.451242	-97.797801
32	540000	Single Family	10808 Hard Rock Rd, Austin, TX 78750	2174	3.0	5	82	30.453568	-97.810018
33	533000	Single Family	13424 Tossa Ln, Austin, TX 78729	1960	2.5	3	82	30.455079	-97.753639
34	700000	Single Family	11463 Bristle Oak Trl, Austin, TX 78750	2032	2.0	3	82	30.452292	-97.819166
35	800000	Single Family	15813 Double Eagle Dr, Austin, TX 78717	3201	3.5	4	82	30.501977	-97.757486
36	499000	Single Family	13517 Dulles Ave, Austin, TX 78729	2020	2.5	4	77	30.459873	-97.758263
37	529900	Single Family	9300 Eddystone St, Austin, TX 78729	1360	2.0	3	76	30.454689	-97.781796
38	529900	Single Family	13427 Athens Trl, Austin, TX 78729	1664	2.5	3	75	30.456685	-97.755633
39	560000	Single Family	15906 Neenah Cv, Austin, TX 78717	1646	2.0	3	75	30.494816	-97.741733
43	724000	Single Family	15601 Pumpkin Ridge Dr, Austin, TX 78717	2498	2.5	4	69	30.498638	-97.762692
44	450000	Single Family	12808 Steeple Chase Dr, Austin, TX 78729	1567	2.5	3	69	30.446731	-97.762272
45	714950	Single Family	9204 Slate Creek Trl, Austin, TX 78717	2390	2.0	3	68	30.512177	-97.742491
46	579900	Single Family	13202 Quadros Pass, Austin, TX 78729	2374	2.0	4	68	30.45183	-97.759148
47	649999	Single Family	13218 Tamayo Dr, Austin, TX 78729	2636	2.5	3	67	30.451757	-97.757464
48	549000	Single Family	9714 Copper Creek Dr, Austin, TX 78729	2155	2.5	3	67	30.459032	-97.786593
49	640000	Single Family	9904 Quercia Dr, Austin, TX 78717	2521	3.0	4	64	30.47715	-97.773026
